Covariate,GG0130A1,GG0130B1,GG0130C1,GG0170A1,GG0170C1,GG0170D1,GG0170E1,GG0170F1,GG0170I1,GG0170J1,GG0170R1
1 Step (curb) (GG0170M1) - Valid Score,-0.1393,0.0169,0.0070,0.0738,-0.0166,0.1868,0.0051,0.1248,0.1978,0.3065,0.0631
1 Step (curb) (GG0170M1) - Not Attempted,-2.9153,-1.5514,-1.0986,-1.9579,-2.4102,1.2829,1.8055,-1.3038,-2.0813,2.1983,1.8201
4 Steps (GG0170N1) - Valid Score,0.1211,0.1278,-0.3111,-0.3272,-0.2078,-0.2198,0.3191,-0.3839,-0.0984,-0.0154,0.0059
4 Steps (GG0170N1) - Not Attempted,-1.5596,-0.3117,-0.0723,-1.4111,-1.4685,0.8505,1.6524,-2.6011,-1.8566,-0.9597,-0.3565
4 Steps (GG0170N1) - Skipped,0.8613,1.3610,0.9481,0.8086,0.8160,--,--,-0.9857,0.8863,-2.1467,-2.0387
12 Steps (GG0170O1) - Valid Score,-0.0536,-0.1061,0.3967,0.5113,0.3312,0.5943,0.2456,0.2093,-0.1102,-0.0075,-0.0937
12 Steps (GG0170O1) - Not Attempted,-0.5795,-0.5455,0.5480,2.0473,0.6258,1.9969,0.7769,0.4490,-0.0301,0.0060,-0.0890
12 Steps (GG0170O1) - Skipped,1.6857,0.2750,0.0950,2.1693,1.5711,--,--,1.8588,1.4730,0.9263,0.2638
Picking up Object (GG0170P1) - Valid Score,-0.0230,0.0134,-0.0687,-0.0622,0.0092,-0.0710,0.0041,0.1331,0.0250,0.1222,0.0329
Picking up Object (GG0170P1) - Not Attempted,-0.0583,0.0432,-0.1730,-0.1383,-0.2101,-0.2465,-0.0528,0.2081,0.0726,0.3950,0.0712
Wheel 50 Feet With 2 Turns (GG0170R1) - Valid Score,0.0050,-0.0084,0.0522,0.1057,0.1264,0.0578,0.0005,-0.0177,0.0469,-0.0585,--
Wheel 50 Feet With 2 Turns (GG0170R1) - Not Attempted,0.1120,-0.1596,-0.0169,0.4942,-0.0191,0.1088,-0.0201,0.1246,0.3997,-0.3358,--
Wheel 50 Feet With 2 Turns (GG0170R1) - Skipped,0.0335,-0.0480,0.0817,0.1938,-0.0305,--,--,-0.0268,0.4933,0.2987,--
Wheel 150 Feet (GG0170S1) - Valid Score,-0.0118,0.0699,0.0871,-0.0912,0.0597,0.0362,0.0141,0.0644,0.0754,0.0826,1.0912
Wheel 150 Feet (GG0170S1) - Not Attempted,-0.0684,0.1681,0.1133,-0.3071,-0.0460,-0.0205,0.0721,0.0453,0.2684,0.5553,2.7286
Wheel 150 Feet (GG0170S1) - Skipped,--,--,--,--,--,--,--,--,--,--,--
