Item,GG0130A1,GG0130B1,GG0130C1,GG0170A1,GG0170C1,GG0170D1,GG0170E1,GG0170F1,GG0170I1,GG0170J1,GG0170R1
"Cognitive Function, BIMS Score: Severely Impaired – Admission",-0.2007,-0.2417,-0.0265,-0.0241,-0.0122,0.019,0.0067,0.006,-0.0293,-0.0085,-0.038
Communication Impairment: Moderate to Severe – Admission,-0.2928,-0.2039,-0.0344,-0.0632,-0.0262,-0.0091,-0.0133,-0.0405,-0.0074,0.0377,-0.0656
Communication Impairment: Mild – Admission,-0.0824,-0.0767,-0.0053,0.0016,-0.0056,0.0116,-0.0125,-0.0104,-0.0222,0.005,0.0169
"Urinary Continence: Occasionally Incontinent, Frequently Incontinent, or Always Incontinent – Admission",0.0315,0.0359,-0.1462,0.0162,-0.0295,-0.0114,0.0068,-0.0459,0.0148,-0.0336,0.0506
Urinary Continence: Not Rated (Indwelling Urinary Catheter) – Admission,0.0248,0.0549,-0.3069,-0.0199,-0.0471,-0.0089,-0.009,-0.0664,-0.018,-0.0175,0.0207
"Bowel Continence: Occasionally Incontinent, Frequently Incontinent – Admission",-0.0373,0.0224,-0.1064,0.0004,0.0074,-0.0016,-0.0051,-0.0543,-0.0474,-0.0312,0.013
Bowel Continence: Always Incontinent – Admission,-0.1034,-0.0254,-0.2341,-0.0626,-0.039,-0.0639,-0.1131,-0.1558,-0.2216,-0.0464,-0.0578
History of Falls – Admission,0.0185,0.0104,-0.0231,0.0272,-0.015,-0.0007,-0.0142,0.0054,0.0003,-0.0131,-0.0031
Nutritional Approaches: Mechanically Altered Diet – Admission,-0.2188,-0.0717,0.0001,-0.0117,-0.0038,-0.0088,0.0009,-0.0083,-0.0383,-0.0085,-0.0469
Total Parenteral/IV Feeding or Tube Feeding: While a Resident – Admission,-0.5322,0.0187,-0.0177,-0.0575,-0.0225,-0.0134,-0.0386,-0.0166,-0.036,0.0053,-0.0432
High BMI,0.2486,0.2485,-0.2285,-0.1234,0.001,0.0381,-0.0757,0.0248,0.1514,-0.1027,-0.0649
Low BMI,-0.0984,-0.0483,0.0106,0.0442,0.0401,0.0206,0.0382,0.0065,-0.0419,-0.0347,-0.0359
"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock (HCC2)",-0.0059,-0.0074,-0.0348,-0.0251,-0.018,-0.0233,-0.0115,-0.0091,-0.006,-0.0357,-0.0331
Metastatic Cancer and Acute Leukemia (HCC8),-0.0064,-0.0049,-0.0074,-0.0017,-0.0097,0.0079,0.0002,0.0068,0.0131,-0.0129,-0.0259
Lymphoma and Other Cancers (HCC10),-0.0255,0.0109,0.006,-0.0044,0.009,0.0156,-0.0402,0.0281,-0.028,-0.0202,-0.0531
"Colorectal, Bladder, and Other Cancers (HCC11)",-0.0544,0.0497,0.0025,0.0208,-0.0041,0.0504,0.0082,0.0033,0.0147,0.0392,-0.0744
Diabetes: Diabetes With Chronic Complications (HCC18) or Diabetes Without Complications (HCC19),0.0177,0.0055,-0.0087,-0.0111,-0.0263,-0.0123,-0.0147,-0.0001,0.001,-0.0022,-0.0086
Other Significant Endocrine and Metabolic Disorders (HCC23),0.0019,0.0074,-0.0241,-0.0102,0.0018,-0.0093,-0.0017,0.0181,0.0316,0.0036,-0.0451
Intestinal Obstruction/Perforation (HCC33),0.0378,0.0165,-0.0649,0.0145,-0.0301,0.0114,-0.0005,-0.0003,0.0116,0.0506,-0.0248
"Dementia: Dementia With Complications (HCC51), Dementia Without Complications (HCC52)",-0.0411,-0.0918,-0.016,0.0056,-0.0007,0.0054,0.0032,0.0102,0.0008,0.0217,0.0315
"Mental Health Disorders: Schizophrenia (HCC57), Major Depressive, Bipolar, and Paranoid Disorders (HCC59), Reactive and Unspecified Psychosis (HCC58), Personality Disorders (HCC60)",-0.0011,-0.0187,0.0015,0.0049,-0.0083,0.0093,-0.0088,0.0092,0.0024,-0.0104,0.0225
Tetraplegia (Excluding Complete Tetraplegia) (HCC70) and Paraplegia (HCC71),-0.1124,0.0399,-0.04,-0.078,-0.0733,-0.2214,0.1104,-0.1467,-0.1805,-0.0068,0.1021
Multiple Sclerosis (HCC77),-0.0345,0.0715,-0.0633,-0.0745,-0.0147,-0.0348,-0.1635,-0.054,-0.0664,0.0323,0.1196
Parkinson’s and Huntington’s Diseases (HCC78),-0.1278,-0.0293,-0.0078,-0.0404,-0.0214,0.0162,-0.0159,0.009,0.0026,0.0146,0.0151
Angina Pectoris (HCC88),0.0154,-0.0154,0.0203,-0.0278,-0.0115,0.0034,-0.0379,0.0284,-0.0624,0.0462,0.0175
Hemiplegia/Hemiparesis (HCC103),-0.0248,-0.0058,0,-0.0389,-0.0382,0.0001,-0.0711,-0.0205,-0.1061,-0.0016,0.0125
"Aspiration, Bacterial, and Other Pneumonias: Aspiration and Specified Bacterial Pneumonias (HCC114), Pneumococcal Pneumonia, Empyema, Lung Abscess (HCC115)",-0.0305,-0.0076,-0.0104,0.0009,-0.0057,0.0011,-0.0122,0.0118,0.0008,-0.0168,0.0059
"Dialysis Status (HCC134), Chronic Kidney Disease, Stage 5 (HCC136)",-0.0452,0.0211,-0.0151,0.0144,0.0112,-0.0303,-0.0179,-0.0242,-0.0811,-0.0203,-0.0413
"Chronic Kidney Disease - Stages 1-4, Unspecified: Chronic Kidney Disease, Severe (Stage 4) (HCC137), Chronic Kidney Disease, Moderate (Stage 3) (HCC138), Chronic Kidney Disease, Mild or Unspecified (Stages 1-2 or Unspecified) (HCC139)",0.0285,0.0013,-0.0146,0.0146,0.001,-0.0056,0.0012,0.0016,0.036,0.0039,0.0042
Major Head Injury (HCC167),-0.0498,-0.1037,0.0518,0.0491,0.0401,-0.0101,-0.0153,-0.0137,-0.0225,0.0641,0.041
"Amputations: Traumatic Amputations and Complications (HCC173), Amputation Status, Lower Limb/Amputation Complications (HCC189), Amputation Status, Lower Limb/ Amputation Complications (HCC189)",0.0054,0.0324,-0.0714,0.0905,0.1174,-0.2329,0.2238,-0.0244,-0.2142,-0.025,0.0858
Uses Wheelchair,0.1127,0.0879,-0.1103,-0.0484,-0.0178,-0.354,-0.1874,-0.1348,--,--,--
Eating (GG0130A1) - Valid Score,--,0.6438,0.0458,0.0582,0.028,0.0095,0.0198,0.0092,0.0322,-0.0008,0.0856
Eating (GG0130A1) - Not Attempted,--,1.5161,0.0687,0.08,0.0287,-0.0114,-0.0357,0.0079,0.081,-0.0204,0.0814
Oral Hygiene (GG0130B1) - Valid Score,0.6217,--,0.1191,0.0501,0.0063,0.0035,-0.0055,-0.0128,0.0005,-0.0069,0.0396
Oral Hygiene (GG0130B1) - Not Attempted,2.3447,--,0.2033,0.2437,0.0682,0.0919,0.0518,-0.0184,-0.0303,-0.1292,0.1886
Toileting Hygiene (GG0130C1) - Valid Score,0.0329,0.1388,--,-0.0348,0.0186,0.0554,0.068,0.2154,0.0362,0.0283,-0.0068
Toileting Hygiene (GG0130C1) - Not Attempted,0.0478,0.2987,--,-0.046,0.0691,0.0951,0.2565,0.5497,0.0281,0.1064,0.0195
Shower/Bathe Self (GG0130E1) - Valid Score,0.0343,0.1129,0.4746,0.0435,0.0295,0.0241,0.0317,0.0575,0.0214,0.0184,0.0188
Shower/Bathe Self (GG0130E1) - Not Attempted,0.1252,0.2034,1.1582,0.0917,0.0961,0.0981,0.1219,0.1895,0.1455,0.121,0.0359
Upper Body Dressing (GG0130F1) - Valid Score,0.1811,0.3229,0.0962,0.1049,0.0524,0.0144,0.0308,0.016,0.0223,-0.0291,0.0921
Upper Body Dressing (GG0130F1) - Not Attempted,0.5711,1.1299,0.5079,0.4557,0.1442,0.026,0.0746,0.1644,0.2745,-0.0106,0.3264
Lower Body Dressing (GG0130G1) - Valid Score,-0.0458,-0.0117,0.591,0.035,0.0027,0.0366,0.0846,0.0648,0.0716,0.0461,-0.0108
Lower Body Dressing (GG0130G1) - Not Attempted,-0.102,0.0455,1.2884,0.0743,0.0589,0.1865,0.0477,0.1881,0.1294,0.0731,-0.0514
Put on/Take off Footwear (GG0130H1) - Valid Score,-0.0089,-0.0088,0.1431,-0.0117,0.0193,0.002,-0.0268,-0.0035,-0.02,0.0106,-0.0085
Put on/Take off Footwear (GG0130H1) - Not Attempted,-0.0399,-0.028,0.3941,0.0086,0.0398,-0.0184,0.1857,-0.0911,-0.0673,0.0421,-0.0537
Roll Left and Right (GG0170A1) - Valid Score,0.0489,0.0418,-0.012,--,0.315,0.041,0.0223,0.0241,0.1344,-0.0077,0.1118
Roll Left and Right (GG0170A1) - Not Attempted,0.2506,0.1858,0.1295,--,1.0451,0.3443,0.7146,0.2816,0.6245,0.0059,0.4818
Sit to Lying (GG0170B1) - Valid Score,-0.0045,0.0168,0.0703,0.8936,1.9477,0.1325,0.1001,0.0349,-0.0208,0.0181,0.0805
Sit to Lying (GG0170B1) - Not Attempted,0.064,-0.0073,0.0518,1.6192,5.3767,0.5251,0.1327,0.2004,-0.0303,0.1106,0.0716
Lying to Sitting on Side of Bed (GG0170C1) - Valid Score,0.0337,-0.0064,0.0071,0.5482,--,0.3334,0.1634,0.0641,-0.0503,0.0139,-0.0162
Lying to Sitting on Side of Bed (GG0170C1) - Not Attempted,0.1137,-0.0806,0.0224,0.6866,--,0.9247,-0.1813,0.0692,-0.0472,0.0228,0.0268
Sit to Stand (GG0170D1) - Valid Score,0.0002,0.0018,0.0646,0.0546,0.3265,--,1.5819,0.4822,0.293,-0.0059,0.0127
Sit to Stand (GG0170D1) - Not Attempted,-0.0153,-0.0269,0.043,-0.0015,0.3223,--,2.0289,0.5944,0.4477,0.1288,-0.0648
Chair/Bed-to-Chair Transfer (GG0170E1) - Valid Score,0.0149,-0.0113,0.1192,0.0281,0.2066,1.7653,--,1.6123,0.5465,0.1574,0.109
Chair/Bed-to-Chair Transfer (GG0170E1) - Not Attempted,0.0099,0.0284,0.1827,0.0738,0.4243,3.6855,--,3.6845,1.5776,0.6872,-0.0118
Toilet Transfer (GG0170F1) - Valid Score,-0.0155,-0.017,0.1641,-0.0104,0.0152,0.3308,0.9828,--,0.2003,0.0779,-0.0507
Toilet Transfer (GG0170F1) - Not Attempted,-0.0464,-0.0253,0.2146,-0.0157,0.0837,0.7388,2.1379,--,0.3955,0.2309,-0.1791
Car Transfer (GG0170G1) - Valid Score,-0.0064,-0.0119,-0.0009,-0.0075,-0.0138,0.0233,0.0017,0.2162,0.0322,0.0026,-0.066
Car Transfer (GG0170G1) - Not Attempted,-0.0074,-0.055,0.0007,0.0036,-0.0445,0.0575,0.0116,0.5839,0.1935,0.0193,-0.0822
Walk 10 Feet (GG0170I1) - Valid Score,0.0328,-0.0057,0.029,0.1076,-0.0184,0.131,0.2178,0.1539,--,1.353,--
Walk 10 Feet (GG0170I1) - Not Attempted,0.0285,-0.0139,-0.0258,0.1915,-0.0024,0.3202,0.3597,0.3544,--,--,--
Walk 50 Feet With 2 Turns (GG0170J1) - Valid Score,0.0049,0.0034,0.003,-0.0135,0.0064,-0.001,0.0083,0.026,0.8564,--,--
Walk 50 Feet With 2 Turns (GG0170J1) - Not Attempted,0.0274,0.044,-0.042,-0.067,0.0053,-0.052,0.0372,0.0392,2.368,--,--
Walk 50 Feet With 2 Turns (GG0170J1) - Skipped,0.1397,0.1922,-0.0471,-0.0567,0.0235,-0.3697,-0.0249,-0.1361,--,--,--
Walk 150 Feet (GG0170K1) - Valid Score,-0.0098,0.0147,-0.0153,-0.0329,-0.0118,-0.0048,-0.0037,-0.0175,-0.0798,0.7809,--
Walk 150 Feet (GG0170K1) - Not Attempted,-0.0406,0.0184,-0.0112,-0.0712,-0.0057,-0.0337,0.0065,-0.019,-0.4277,2.432,--
Walk 150 Feet (GG0170K1) - Skipped,--,--,--,--,--,--,--,--,--,--,--
Walk 10 Feet Uneven Surface (GG0170L1) - Valid Score,0.0218,0.0235,-0.0018,0.0201,0.0319,-0.0755,-0.0116,-0.0387,0.0725,0.1145,--
Walk 10 Feet Uneven Surface (GG0170L1) - Not Attempted,0.0841,0.0564,0.0273,0.0942,0.0609,-0.1985,-0.0381,-0.0774,0.1946,0.3682,--
Walk 10 Feet Uneven Surface (GG0170L1) - Skipped,--,--,--,--,--,--,--,--,--,--,--
1 Step (curb) (GG0170M1) - Valid Score,-0.0119,-0.0187,0.0116,0.012,-0.0361,0.0236,-0.0258,0.0286,0.0606,0.1413,0.0839
1 Step (curb) (GG0170M1) - Not Attempted,-0.4691,0.0857,0.173,0.0565,0.4524,-0.711,0.791,-0.5069,0.4187,0.5949,0.3844
4 Steps (GG0170N1) - Valid Score,0.008,-0.0091,0.0027,-0.013,0.0064,0.0112,0.0102,0.0166,-0.0901,0.0364,0.0908
4 Steps (GG0170N1) - Not Attempted,0.3928,-0.0375,0.1767,0.0858,-0.4893,0.8867,-0.6939,0.6941,-0.5837,0.188,--
4 Steps (GG0170N1) - Skipped,0.8304,-0.2005,0.0497,0.025,-1.016,1.6289,-1.5102,1.2795,-0.8286,0.0659,-0.1688
12 Steps (GG0170O1) - Valid Score,-0.0044,0.0096,-0.0256,-0.0364,-0.016,0.0036,-0.0304,-0.0214,-0.042,-0.1444,-0.1137
12 Steps (GG0170O1) - Not Attempted,0.0129,0.0009,-0.0369,0.018,-0.048,0.0304,-0.08,0.0111,-0.0482,-0.4274,-0.2642
12 Steps (GG0170O1) - Skipped,-0.3961,0.023,-0.2009,-0.1086,0.4344,-0.8337,0.6178,-0.6541,0.2705,-0.5364,-0.0784
Picking up Object (GG0170P1) - Valid Score,-0.0215,0.0014,-0.0262,-0.0095,-0.0028,0.0207,-0.0141,0.0417,0.0657,0.0629,0.0298
Picking up Object (GG0170P1) - Not Attempted,-0.0436,-0.0071,-0.0655,-0.0452,0.0182,0.033,-0.0118,0.1271,0.179,0.2017,0.0641
Wheel 50 Feet With 2 Turns (GG0170R1) - Valid Score,0.0377,-0.0023,0.032,0.0941,-0.012,0.13,0.2261,0.1799,--,--,--
Wheel 50 Feet With 2 Turns (GG0170R1) - Not Attempted,0.0559,0.0301,-0.0678,0.1245,0.0029,0.2682,0.3969,0.3936,--,--,--
Wheel 50 Feet With 2 Turns (GG0170R1) - Skipped,0.047,0.0946,-0.0283,0.1231,0.0425,0.0991,0.3207,0.2088,--,--,--
Wheel 150 Feet (GG0170S1) - Valid Score,0.012,0.0382,-0.0171,-0.0128,0.0201,-0.0803,-0.0153,-0.0562,--,--,1.2026
Wheel 150 Feet (GG0170S1) - Not Attempted,0.0435,0.0748,0.0161,0.023,0.0552,-0.2322,-0.0316,-0.0964,--,--,2.7503
Wheel 150 Feet (GG0170S1) - Skipped,--,--,--,--,--,--,--,--,--,--,--
